ANOMES,ifsc01,arq114,arq152,arq172,arq4,arq1
01/2023 00:00,NaN,26.2,25.2,26.2,25.0,20.2
02/2023 00:00,24.9,12.8,24.9,12.8,24.6,20.0
03/2023 00:00,26.2,13.5,25.1,13.5,25.2,20.0
04/2023 00:00,22.4,19.6,21.8,19.6,20.0,12.9
05/2023 00:00,21.4,21.0,20.2,21.0,20.5,13.3
06/2023 00:00,19.5,18.7,18.6,18.7,18.7,12.9
07/2023 00:00,18.6,17.5,17.7,17.5,17.9,9.6
08/2023 00:00,19.6,16.9,18.0,16.9,18.1,14.5
09/2023 00:00,21.2,19.3,NaN,17.1,20.1,16.2
10/2023 00:00,NaN,18.6,18.9,15.5,19.5,5.9
11/2023 00:00,NaN,23.3,22.1,22.7,21.9,18.2
12/2023 00:00,NaN,24.7,24.6,24.7,19.7,19.9
01/2024 00:00,24.9,18.8,NaN,18.7,23.7,18.9
02/2024 00:00,26.9,25.9,26.2,26.8,25.7,21.0
03/2024 00:00,25.9,22.4,NaN,NaN,24.6,19.9
04/2024 00:00,23.9,22.8,23.1,20.1,23.0,17.6
05/2024 00:00,20.5,19.4,16.0,19.4,19.6,13.4
06/2024 00:00,19.96,17.1,19.7,19.8,19.2,15.1
07/2024 00:00,16.5,15.4,NaN,15.4,3.1,12.5
08/2024 00:00,17.6,16.7,NaN,11.2,13.8,14.0
09/2024 00:00,20.7,20.9,NaN,20.4,19.7,16.9
10/2024 00:00,22.4,19.5,NaN,19.5,21,15.7
11/2024 00:00,23.4,21.5,NaN,21.5,22.5,17.6