ANOMES,ifsc01,ifsc02,arq114,arq123,arq152,arq172,arq4,arq1
01/2023 00:00,101.8,81.7,104.5,121.8,81.7,197.8,217.2,0.0
02/2023 00:00,120.1,37.6,78.3,79.8,248.7,78.3,347.5,188.2
03/2023 00:00,213.4,8.1,80.8,88.4,141.9,80.8,269.4,204.1
04/2023 00:00,205.2,21.3,107.5,107.9,131.5,107.5,188.3,79.1
05/2023 00:00,60.7,14.5,40.2,38.8,62.8,40.2,43.7,37.1
06/2023 00:00,109.7,128.0,125.8,120.4,177.1,125.8,169.8,106.1
07/2023 00:00,147.1,131.1,101.1,102.1,116.6,101.1,148.9,153.6
08/2023 00:00,24.4,40.1,111.4,124.7,116.3,111.4,155.7,99.8
09/2023 00:00,95,,112.2,,NaN,171.6,191.3,209.4
10/2023 00:00,NaN,,438.8,,384.4,424.7,698.4,2.5
11/2023 00:00,NaN,,350.4,,366.8,618.5,604.3,200
12/2023 00:00,NaN,,76.6,,102.8,76.6,158.8,53.7
01/2024 00:00,NaN,,272.3,,NaN,307.7,780.6,255.3
02/2024 00:00,NaN,,97,,168.4,152.2,183.5,112.8
03/2024 00:00,NaN,,25.6,,NaN,NaN,177.1,121.9
04/2024 00:00,7,,322.9,,287.8,551,981.6,247.4
05/2024 00:00,101,,275,,297,347.5,415.6,204.9
06/2024 00:00,40,,24.9,,58.7,325.4,194.1,111.7
07/2024 00:00,70,,248.5,,NaN,248.5,164.3,207.7
08/2024 00:00,7,,17,,NaN,93.4,31.7,29.8
09/2024 00:00,54,,109.6,,NaN,147.9,236.5,99.1
10/2024 00:00,86,,166.4,,NaN,166.4,302,208.4
11/2024 00:00,259,,186.7,,NaN,186.7,396.4,209.3